South Central,1,,Robinson,20:20.3,,Arkansas,20,20
South Central,2,,Werner,20:29.0,,Arkansas,20,29
South Central,3,,Gregory,20:29.0,,Arkansas,20,29
South Central,4,,Viljoen,20:33.9,,Arkansas,20,34
South Central,5,,Miller,20:36.6,,SMU,20,37
South Central,6,,Girard,20:41.5,,Texas AMCC,20,42
South Central,7,,Collins,20:46.5,,Texas,20,46
South Central,8,,Ojstersek,20:51.8,,SMU,20,52
South Central,9,,Cruz,20:54.0,,Texas,20,54
South Central,11,,Brown,21:07.2,,Arkansas,21,7
South Central,12,,Romero,21:11.1,,Texas State,21,11
South Central,13,,Huckabee,21:13.0,,Arkansas,21,13
South Central,14,,Reed,21:13.5,,Arkansas,21,14
South Central,15,,Iseli,21:18.9,,North Texas,21,19
South Central,16,,Watson,21:20.0,,Arkansas-Lit,21,20
South Central,17,,Helmers,21:21.6,,Rice,21,22
South Central,19,,Cole,21:28.0,,Texas State,21,28
South Central,20,,Guidry,21:28.1,,Texas,21,28
South Central,21,,Long,21:28.1,,Texas State,21,28
South Central,22,,Chelangat,21:30.5,,UT-Rio Grand,21,30
South Central,23,,Grogan,21:31.3,,SMU,21,31
South Central,24,,Warren,21:34.1,,Texas AM,21,34
South Central,25,,Patel,21:36.3,,Rice,21,36
South Central,26,,Bernardo,21:36.4,,Texas AM,21,36
South Central,27,,Ramirez,21:39.8,,SFA,21,40
South Central,28,,Charles,21:40.0,,Arkansas State,21,40
South Central,29,,McDonald,21:41.4,,LSU,21,41
South Central,30,,Driscoll,21:41.8,,Texas AM,21,42
South Central,31,,Fish,21:42.3,,Texas AM,21,42
South Central,32,,Lloyd,21:46.8,,Texas,21,47
South Central,33,,Andrews-Paul,21:49.2,,Baylor,21,49
South Central,34,,Vondra,21:51.9,,Texas,21,52
South Central,35,,Buckley,21:54.6,,Lamar,21,55
South Central,36,,Schneider,21:55.6,,Texas State,21,56
South Central,37,,Campos,22:00.0,,Texas AMCC,22,0
South Central,38,,King,22:00.5,,Texas State,22,0
South Central,39,,Mandel,22:01.1,,Texas Christian,22,1
South Central,41,,Zapata,22:04.4,,UT-Rio Grand,22,4
South Central,42,,Messineo,22:05.7,,Rice,22,6
South Central,43,,Gonzales,22:07.0,,Houston,22,7
South Central,45,,Surratt,22:10.3,,SFA,22,10
South Central,46,,Meyer,22:11.0,,Arkansas State,22,11
South Central,47,,Sorensen,22:11.6,,Houston,22,12
South Central,48,,Gilmore,22:13.4,,Baylor,22,13
South Central,49,,Jerotich,22:14.2,,McNeese State,22,14
South Central,50,,Black,22:14.6,,Texas AM,22,15
South Central,51,,Antrich,22:18.3,,Baylor,22,18
South Central,52,,Chapa,22:18.6,,Texas AM,22,19
South Central,53,,Melius,22:19.0,,Tulane,22,19
South Central,54,,Bourque,22:20.7,,LSU,22,21
South Central,55,,Eykelbosch,22:23.0,,McNeese State,22,23
South Central,56,,Bradley,22:24.8,,Texas AM,22,25
South Central,57,,Walton,22:27.7,,Baylor,22,28
South Central,58,,Johnston,22:31.8,,Texas Christian,22,32
South Central,59,,Tomaini,22:35.3,,Texas Christian,22,35
South Central,60,,Quiroga,22:36.3,,Texas AMCC,22,36
South Central,61,,Rios,22:37.3,,UT-Rio Grand,22,37
South Central,62,,Parker,22:38.0,,LSU,22,38
South Central,63,,Palin,22:38.9,,LSU,22,39
South Central,64,,Sierra,22:39.8,,Texas State,22,40
South Central,65,,Lobodzinski,22:40.5,,Houston,22,41
South Central,66,,Montemayor,22:41.9,,SMU,22,42
South Central,67,,Stamey,22:42.6,,LSU,22,43
South Central,68,,ADAMS,22:43.4,,North Texas,22,43
South Central,69,,Wood,22:43.8,,Lamar,22,44
South Central,70,,Welborn,22:43.9,,Texas,22,44
South Central,71,,Murphy,22:44.3,,SMU,22,44
South Central,72,,Holmes,22:44.8,,Baylor,22,45
South Central,73,,Martinez,22:47.6,,Incarnate,22,48
South Central,74,,Balandran,22:48.2,,Rice,22,48
South Central,75,,Oury,22:49.9,,Arkansas State,22,50
South Central,76,,Tucker,22:51.3,,SHS,22,51
South Central,77,,Steinhauser,22:52.0,,Texas State,22,52
South Central,78,,McCutchen,22:52.7,,Texas AMCC,22,53
South Central,79,,Thompson,22:52.9,,Texas,22,53
South Central,80,,Crone,22:53.3,,SFA,22,53
South Central,81,,Chandler,22:53.9,,Arkansas State,22,54
South Central,82,,Romo,22:55.9,,UT-Rio Grand,22,56
South Central,83,,Emmerson,22:56.0,,Lamar,22,56
South Central,84,,Everroad,22:57.5,,Baylor,22,57
South Central,85,,Esparza,22:57.7,,SMU,22,58
South Central,86,,Villanueva,22:59.8,,UT-Rio Grand,23,0
South Central,87,,Whiteoak,23:00.1,,Lamar,23,0
South Central,88,,Evans,23:00.4,,SFA,23,0
South Central,89,,Shelton,23:04.0,,North Texas,23,4
South Central,90,,Stovall,23:05.1,,Tulane,23,5
South Central,91,,Sanchez,23:07.0,,Arkansas-Lit,23,7
South Central,92,,Lander,23:07.2,,McNeese State,23,7
South Central,93,,Hull,23:07.8,,McNeese State,23,8
South Central,94,,Koech,23:08.2,,UT-Rio Grand,23,8
South Central,95,,Schmidt,23:08.8,,North Texas,23,9
South Central,96,,Dunlap,23:11.9,,Houston,23,12
South Central,97,,Schneider,23:19.0,,Houston,23,19
South Central,99,,Neal,23:22.4,,Rice,23,22
South Central,100,,Waine,23:23.1,,McNeese State,23,23
South Central,101,,Ramirez,23:23.9,,Incarnate,23,24
South Central,102,,Tarrant,23:25.3,,SHS,23,25
South Central,103,,Eldien,23:26.6,,Arkansas State,23,27
South Central,104,,White,23:29.0,,North Texas,23,29
South Central,105,,Farrow,23:33.2,,LSU,23,33
South Central,106,,Diaz,23:33.8,,Incarnate,23,34
South Central,107,,Hernandez,23:34.4,,Incarnate,23,34
South Central,108,,Marsheck,23:37.6,,Baylor,23,38
South Central,109,,Paul,23:39.3,,Arkansas-Lit,23,39
South Central,110,,Guillot,23:41.3,,LSU,23,41
South Central,112,,Rivera,23:45.7,,UT-Rio Grand,23,46
South Central,113,,Santos,23:50.7,,Houston,23,51
South Central,115,,Brainard,23:56.0,,Arkansas State,23,56
South Central,118,,Grimm,23:58.3,,Arkansas State,23,58
South Central,119,,Belanger,23:59.2,,Tulane,23,59
South Central,120,,Castleberry,24:04.7,,Houston,24,5
South Central,121,,Duenes,24:05.4,,SHS,24,5
South Central,122,,Barth,24:06.5,,Texas Christian,24,7
South Central,123,,Aguiar,24:12.7,,Texas Christian,24,13
South Central,124,,Blankenship,24:14.4,,Texas AMCC,24,14
South Central,125,,Alcantar,24:19.2,,Incarnate,24,19
South Central,126,,Baker,24:20.3,,Texas Christian,24,20
South Central,129,,Williams,24:23.6,,Lamar,24,24
South Central,130,,Henderson,24:25.5,,Incarnate,24,26
South Central,131,,Fox,24:26.0,,McNeese State,24,26
South Central,132,,Manning,24:27.6,,Arkansas-Lit,24,28
South Central,133,,Antkowiak,24:31.5,,SFA,24,32
South Central,135,,Suarez,24:42.0,,Texas Christian,24,42
South Central,136,,Alcanter,24:44.0,,Incarnate,24,44
South Central,138,,Martinez,24:47.8,,Texas AMCC,24,48
South Central,139,,Clarkin,24:50.0,,SHS,24,50
South Central,140,,Maue,24:52.5,,Tulane,24,52
South Central,141,,Pina,24:54.5,,McNeese State,24,54
South Central,142,,Phaneuf,24:58.5,,Tulane,24,59
South Central,143,,Chorn,24:59.4,,SHS,24,59
South Central,144,,Sanchez,25:00.9,,SHS,25,1
South Central,145,,Reifers,25:18.0,,Nicholls Sta,25,18
South Central,146,,Verges,25:38.4,,Nicholls Sta,25,38
South Central,149,,Johnson,25:54.8,,North Texas,25,55
South Central,150,,Foster,26:03.9,,Lamar,26,4
South Central,151,,Callejas,26:13.8,,Nicholls Sta,26,14
South Central,152,,Kiplagat,26:28.9,,Nicholls Sta,26,29
South Central,153,,Boni,26:46.8,,Arkansas-Lit,26,47
South Central,154,,Keter,26:51.7,,Nicholls Sta,26,52
